sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
BAR;NA;GUAICARAMO;Barranca de Upía;Meta;Aeródromo;4.4605;-72.9509;GUAICARAMO S.A.;GUAICARAMO S.A.;800;18;5500;08 | 26;649;7236;27/12/2013;42751;1A;Fumigación;17;50;50110,,,
BAT;NA;BANCO DE OCCIDENTE;Cali;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;76;76001,,,
BBA;NA;PIZARRO;Bajo Baudó;Chocó;Aeródromo;4.9608;-77.3633;MUNICIPIO;MUNICIPIO;1000;10;6.45/F/D/X/T;15 | 33;10;6365;30/12/2008;NA;1A;Público;4944;27;27077,,,
BCA;NA;CERREJON CENTRAL;Barrancas;La Guajira;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;44;44078,,,
BCO;NA;JULIA CAROLINA;Bosconia;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;132;20;20060,,,
BCU;NA;OREGANAL;Barrancas;La Guajira;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;44;44078,,,
BEC;NA;BECERRIL;Becerril;Cesar;Aeródromo;9.6628;-73.2744;MUNICIPIO;FUMILLANOS;1300;27;3500;13 | 31;320;2989;02/07/2008;NA;3B;Fumigación;51;20;20045,,,
BEE;NA;BENEFICENCIA DEL TOLIMA;Ibagué;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;86;73;73001,,,
BER;NA;BECERRIL;Becerril;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20045,,,
BGA;BGA;PALONEGRO;Bucaramanga;Santander;Internacional;7.127269;-73.182945;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;143503;68;68001,,,
BGN;NA;EL MILAGRO;Bugalagrande;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;76;76113,,,
BIC;NA;BERASTEGUI;Ciénaga de Oro;Córdoba;Aeródromo;8.8845;-75.6835;AEROCIVIL;AEROCIVIL;1530;20;2000;07 | 25;48;984;02/02/1987;NA;0B;Aerocivil;1;23;23189,,,
BIZ;NA;BIZERTA;Nunchía;Casanare;Aeródromo;5.4225;-71.9936;CELMIRA BARRAGAN F.;FUMIVILLA LTDA;700;10;2000;16 | 34;639;151;25/01/2013;42483;1A;Fumigación;1;85;85225,,,
BJA;NA;BERLIN;Villavieja;Huila;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;41;41872,,,
BJE;NA;LA CASCAJERA;Barrancabermeja;Santander;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;68;68081,,,
BMG;NA;BARRANCO MINAS;Barranco Minas;Guainía;Aeródromo;3.4907;-69.8097;GOBERNACION;DEPARTAMENTO;900;15;17.27F/B/X/T;09 | 27;125;2477;11/09/1972;NA;1A;Público;3058;94;94343,,,
BNA;NA;BUENOS AIRES -FADELCE;Pailitas;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;20;20517,,,
BNI;NA;BOLUGA;Venadillo;Tolima;Aeródromo;4.6903;-74.8894;MARGOT URIBE DE SAMPER Y CIA;CRUZ VERDE;640;10;3000;04 | 22;1092;2172;30/04/2012;42152;1A;Fumigación;NA;73;73861,,,
BNO;NA;BUENOS AIRES;Puerto Wilches;Santander;Aeródromo;7.462;-73.7464;AGRICOLA BUFALERA DE COLOMBIA;EL MISMO;1060;18;3500;01 | 19;229;7239;19/12/2012;42359;1A;Privado;26;68;68575,,,
BNP;NA;BUENOS AIRES -FADELCE;Pailitas;Cesar;Aeródromo;9.02;-73.6725;FADELCE LTDA;FADELCE LTDA;840;15;2000;10 | 28;82;24;07/01/2009;12/02/2012;2A;Fumigación;2;20;20517,,,
BOC;NA;SAN MARTIN;Bosconia;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;147;20;20060,,,
BOG;BOG;EL DORADO;Bogotá,D.C.;Bogotá,D.C.;Internacional;4.7017;-74.1469;AEROCIVIL;EN CONCESION CODAD;3800;60;80/F/C/W/T 104/F/D/X/T;13R | 31L,13L | 31R;8356;320;04/12/1959;NA;4E;Aerocivil;1028334;11;11001
BQL;NA;BARRANQUILLITA;Miraflores;Guaviare;Aeródromo;1.5467;-72.3258;GOBERNACION;INS POL BARRANQUILLITA;700;15;5000;01 | 19;800;2989;NA;NA;1A;Público;79;95;95200,,,
BSA;NA;LA ESPERANZA;Barbosa;Santander;Aeródromo;5.9485;-73.6092;GOBERNACION;MUNICIPIO;1000;16;8/F/D/X/T;02 | 20;5308;306;NA;NA;2A;Público;228;68;68077,,,
BSC;BSC;JOSE CELESTINO MUTIS;Bahía Solano;Chocó;Regional;6.2031;-77.395;MUNICIPIO;MUNICIPIO;1200;30;10/F/B/X/U;18 | 36;80;551;NA;NA;2C;Público;21146;27;27075,,,
BUN;BUN;BUENAVENTURA-GERARDO TOBAR LOPEZ;Buenaventura;Valle del Cauca;Nacional;3.8196;-76.9899;AEROCIVIL;AEROCIVIL;1200;30;72/F/B/X/T;09 | 27;44;1026;28/08/1967;NA;2C;Aerocivil;4776;76;76109,,,
BUO;NA;BUENOS AIRES;Yopal;Casanare;Aeródromo;5.149;-72.3519;GILMA MARTINEZ DE B.;SERFABA S.A.S.;800;10;2000;10 | 28;732;3061;NA;42911;1A;Fumigación;8;85;85001,,,
BVA;NA;BUENAVISTA;Distracción;La Guajira;Aeródromo;10.8874;-72.9007;EJERCITO;EJERCITO;1420;30;29000;03 | 21;850;MILITAR;NA;NA;3C;Militar;1338;44;44098,,,
